Dataset,Run_ID,Family,Variant_ID,Variant_Label,Model,Users,Items,Interactions,Density,Avg_User_Degree,Avg_Item_Degree,Precision@10_mean,Precision@10_sd,Precision@10_mean±sd,Recall@10_mean,Recall@10_sd,Recall@10_mean±sd,NDCG@10_mean,NDCG@10_sd,NDCG@10_mean±sd,MRR@10_mean,MRR@10_sd,MRR@10_mean±sd,Coverage@10_mean,Coverage@10_sd,Coverage@10_mean±sd,RecGini_mean,RecGini_sd,RecGini_mean±sd,LTShare@10_mean,LTShare@10_sd,LTShare@10_mean±sd,ILS_mean,ILS_sd,ILS_mean±sd,Diversity_mean,Diversity_sd,Diversity_mean±sd
MovieLens 20M,ml20m_allinone_20260429_114603,Raw full,raw_full,Raw full evaluator support,BPR,137765,20720,9994599,0.00350136,72.54817261278264,482.3648166023166,0.05055408268264633,0.00041551587207757604,0.0506 ± 0.0004,0.5055408268264633,0.004155158720775751,0.5055 ± 0.0042,0.2857401178313604,0.002745629069945778,0.2857 ± 0.0027,0.218594692853636,0.0022736441720078156,0.2186 ± 0.0023,0.27531666020421347,0.0032173428623871255,0.2753 ± 0.0032,0.9589615991575456,0.000514083636550983,0.9590 ± 0.0005,0.07278905635252103,0.003238844119667699,0.0728 ± 0.0032,0.1711211774962161,0.0009581184328071363,0.1711 ± 0.0010,0.8288788225037841,0.000958118432807062,0.8289 ± 0.0010
MovieLens 20M,ml20m_allinone_20260429_114603,Raw full,raw_full,Raw full evaluator support,ItemKNN,137765,20720,9994599,0.00350136,72.54817261278264,482.3648166023166,0.05343841171841898,7.33659709056716e-05,0.0534 ± 0.0001,0.5343841171841898,0.0007336597090568005,0.5344 ± 0.0007,0.31289315484778507,0.0001997120537208646,0.3129 ± 0.0002,0.24479166198287317,9.0389980550976e-05,0.2448 ± 0.0001,0.3541585886002327,0.0007694119749121559,0.3542 ± 0.0008,0.9499410020860193,1.5430073480736063e-05,0.9499 ± 0.0000,0.09635106833726771,0.00013964474730176967,0.0964 ± 0.0001,0.15487778941091415,1.243174865943023e-05,0.1549 ± 0.0000,0.8451222105890858,1.2431748659347464e-05,0.8451 ± 0.0000
MovieLens 20M,ml20m_allinone_20260429_114603,Raw full,raw_full,Raw full evaluator support,LightGCN,137765,20720,9994599,0.00350136,72.54817261278264,482.3648166023166,0.04977592155438532,0.0004400777557536151,0.0498 ± 0.0004,0.4977592155438533,0.004400777557536143,0.4978 ± 0.0044,0.27812219730476073,0.003322737872543393,0.2781 ± 0.0033,0.21106652812245696,0.002990429260807934,0.2111 ± 0.0030,0.3545301796561975,0.009313040199041533,0.3545 ± 0.0093,0.949226216840484,0.0008149287404863997,0.9492 ± 0.0008,0.10003994915562013,0.0026196150386293003,0.1000 ± 0.0026,0.15974944982378925,0.0006193868183240477,0.1597 ± 0.0006,0.8402505501762109,0.0006193868183241465,0.8403 ± 0.0006
MovieLens 20M,ml20m_allinone_20260429_114603,Raw full,raw_full,Raw full evaluator support,NeuMF,137765,20720,9994599,0.00350136,72.54817261278264,482.3648166023166,0.05620749349312995,0.00016603110088479926,0.0562 ± 0.0002,0.5620749349312996,0.00166031100884799,0.5621 ± 0.0017,0.3207455153889453,0.0013522807461666426,0.3207 ± 0.0014,0.24673502122839328,0.001225492424083826,0.2467 ± 0.0012,0.3852914566369394,0.008844697035399774,0.3853 ± 0.0088,0.9372671409147216,0.002139880873694893,0.9373 ± 0.0021,0.1401426063797591,0.007672951105612867,0.1401 ± 0.0077,0.14955763960546878,0.0018403466733051671,0.1496 ± 0.0018,0.8504423603945312,0.0018403466733051938,0.8504 ± 0.0018
MovieLens 20M,ml20m_allinone_20260429_114603,Raw full,raw_full,Raw full evaluator support,MultiVAE,137765,20720,9994599,0.00350136,72.54817261278264,482.3648166023166,0.04672574299376551,0.00026359772000567554,0.0467 ± 0.0003,0.4672574299376551,0.002635977200056809,0.4673 ± 0.0026,0.2632131751485929,0.0006807779431592705,0.2632 ± 0.0007,0.20079603736658394,0.0003324067024276728,0.2008 ± 0.0003,0.11771358407651544,0.015861118363438273,0.1177 ± 0.0159,0.9721733405019829,0.001336300430417413,0.9722 ± 0.0013,0.026602021669390477,0.0017957740785240902,0.0266 ± 0.0018,0.18926287890422352,0.0019828898743737716,0.1893 ± 0.0020,0.8107371210957764,0.0019828898743737703,0.8107 ± 0.0020
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,raw_aligned,Fixed-users raw,BPR,20000,15670,1868461,0.0059619,93.42305,119.23809827696235,0.03107787036107486,0.0004065960123834694,0.0311 ± 0.0004,0.3107787036107486,0.00406596012383472,0.3108 ± 0.0041,0.16724063839202105,0.0022770569964524865,0.1672 ± 0.0023,0.12383444242067874,0.0017154179605588817,0.1238 ± 0.0017,0.16319288569657323,0.001775330357382122,0.1632 ± 0.0018,0.9676692105903305,0.00036501837116460534,0.9677 ± 0.0004,0.019904293410969446,0.00030368782602808276,0.0199 ± 0.0003,0.2314027968028609,0.0009224883489403057,0.2314 ± 0.0009,0.7685972031971392,0.0009224883489402363,0.7686 ± 0.0009
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,raw_aligned,Fixed-users raw,ItemKNN,20000,15670,1868461,0.0059619,93.42305,119.23809827696235,0.03836127564166917,0.0001935196959692913,0.0384 ± 0.0002,0.3836127564166918,0.0019351969596929407,0.3836 ± 0.0019,0.21307847782535838,0.00021803254328046202,0.2131 ± 0.0002,0.16128451224325133,0.0003774673378393797,0.1613 ± 0.0004,0.270848030098976,0.0012605248498519016,0.2708 ± 0.0013,0.9477671963174723,0.00018565998948576794,0.9478 ± 0.0002,0.05156945420473178,0.0004504865861772076,0.0516 ± 0.0005,0.19476878149809637,0.00024526264915283543,0.1948 ± 0.0002,0.8052312185019037,0.00024526264915283625,0.8052 ± 0.0002
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,raw_aligned,Fixed-users raw,LightGCN,20000,15670,1868461,0.0059619,93.42305,119.23809827696235,0.031499514774286384,0.00016049567176147265,0.0315 ± 0.0002,0.31499514774286386,0.0016049567176147032,0.3150 ± 0.0016,0.16877862133371035,0.0004972891588280535,0.1688 ± 0.0005,0.12461928239711595,0.00026462486029032724,0.1246 ± 0.0003,0.1408324248060027,0.001757479587769472,0.1408 ± 0.0018,0.9675839961487904,0.0006002372874724065,0.9676 ± 0.0006,0.014772613191446642,0.0010148113640065422,0.0148 ± 0.0010,0.22792319113121426,0.0010775600485800113,0.2279 ± 0.0011,0.7720768088687858,0.0010775600485800096,0.7721 ± 0.0011
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,raw_aligned,Fixed-users raw,NeuMF,20000,15670,1868461,0.0059619,93.42305,119.23809827696235,0.03734397483519058,0.0002898488431060063,0.0373 ± 0.0003,0.3734397483519058,0.002898488431060042,0.3734 ± 0.0029,0.19596007217262326,0.0016629076512531106,0.1960 ± 0.0017,0.1423572767125121,0.0013397907894118755,0.1424 ± 0.0013,0.3922272814724556,0.00232735808524648,0.3922 ± 0.0023,0.899280206765571,0.002033632527891893,0.8993 ± 0.0020,0.17136499012816653,0.00486676941565699,0.1714 ± 0.0049,0.15796737221161397,0.00236054410852581,0.1580 ± 0.0024,0.842032627788386,0.0023605441085257487,0.8420 ± 0.0024
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,raw_aligned,Fixed-users raw,MultiVAE,20000,15670,1868461,0.0059619,93.42305,119.23809827696235,0.023106783120837932,0.00010143188144582327,0.0231 ± 0.0001,0.23106783120837934,0.0010143188144582347,0.2311 ± 0.0010,0.1252156421643954,0.0005991182864906022,0.1252 ± 0.0006,0.09319134970299513,0.0005519371735899476,0.0932 ± 0.0006,0.03441715299600248,0.00036466624145945907,0.0344 ± 0.0004,0.986975636286084,3.92576541603181e-05,0.9870 ± 0.0000,0.0001756851721714687,4.347080633392424e-05,0.0002 ± 0.0000,0.2725766572498241,0.0002603346436822287,0.2726 ± 0.0003,0.7274233427501758,0.0002603346436822518,0.7274 ± 0.0003
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,dense,Fixed-users TD40,BPR,20000,12220,1863950,0.00762664,93.1975,152.5327332242226,0.0277527602655192,0.00022040035474985386,0.0278 ± 0.0002,0.277527602655192,0.0022040035474985434,0.2775 ± 0.0022,0.1480375871046344,0.0019024880956674689,0.1480 ± 0.0019,0.10892045728306111,0.0017875240544257954,0.1089 ± 0.0018,0.209104811841171,0.003726849551418866,0.2091 ± 0.0037,0.9611817031547911,0.0006351723419263329,0.9612 ± 0.0006,0.021041395643617195,0.0010221891411294943,0.0210 ± 0.0010,0.2447473393401641,0.0004896494265999889,0.2447 ± 0.0005,0.7552526606598359,0.0004896494265999676,0.7553 ± 0.0005
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,dense,Fixed-users TD40,ItemKNN,20000,12220,1863950,0.00762664,93.1975,152.5327332242226,0.03393542146168985,5.623841789281972e-05,0.0339 ± 0.0001,0.33935421461689846,0.0005623841789281598,0.3394 ± 0.0006,0.18606715350495015,0.00042666058028584654,0.1861 ± 0.0004,0.13962679960628524,0.0004345012635810866,0.1396 ± 0.0004,0.3191053580206456,0.0007281824035159311,0.3191 ± 0.0007,0.9405817752583534,0.00014654260737986753,0.9406 ± 0.0001,0.044092531438673734,0.0003045704455429009,0.0441 ± 0.0003,0.20959566619096312,0.0002170664371642666,0.2096 ± 0.0002,0.790404333809037,0.00021706643716426074,0.7904 ± 0.0002
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,dense,Fixed-users TD40,LightGCN,20000,12220,1863950,0.00762664,93.1975,152.5327332242226,0.027781113446078923,0.0002630687869819418,0.0278 ± 0.0003,0.2778111344607892,0.0026306878698193633,0.2778 ± 0.0026,0.14804774593979944,0.0016819717488930305,0.1480 ± 0.0017,0.10885872756432147,0.001441073856353655,0.1089 ± 0.0014,0.18012999071494892,9.460106000157956e-05,0.1801 ± 0.0001,0.9615987207211374,0.00015695243586910673,0.9616 ± 0.0002,0.01462190199806531,0.0002516385364760967,0.0146 ± 0.0003,0.2413691749430471,0.00047563834454164317,0.2414 ± 0.0005,0.758630825056953,0.0004756383445417776,0.7586 ± 0.0005
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,dense,Fixed-users TD40,NeuMF,20000,12220,1863950,0.00762664,93.1975,152.5327332242226,0.03255278695086561,0.00034166998189090356,0.0326 ± 0.0003,0.3255278695086561,0.003416699818909031,0.3255 ± 0.0034,0.16910216892365626,0.0023090608556822862,0.1691 ± 0.0023,0.12193080791474668,0.002002634045959107,0.1219 ± 0.0020,0.46537222131192313,0.01141531434863883,0.4654 ± 0.0114,0.8823730702375389,0.008738281623437595,0.8824 ± 0.0087,0.1550401948030288,0.015845733099513665,0.1550 ± 0.0158,0.16722985672177695,0.006063799566529268,0.1672 ± 0.0061,0.8327701432782231,0.006063799566529364,0.8328 ± 0.0061
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,dense,Fixed-users TD40,MultiVAE,20000,12220,1863950,0.00762664,93.1975,152.5327332242226,0.020029020314219954,0.00011365772732513485,0.0200 ± 0.0001,0.20029020314219956,0.0011365772732513353,0.2003 ± 0.0011,0.10780920191179834,0.0005835712635485326,0.1078 ± 0.0006,0.07984787102294356,0.00043878173986945836,0.0798 ± 0.0004,0.038259872194002946,0.0008192692118630194,0.0383 ± 0.0008,0.9865778481989605,4.9009237286594254e-05,0.9866 ± 0.0000,0.00015344074185263016,4.8596691965487385e-05,0.0002 ± 0.0000,0.2946163685654108,0.00029968208394932634,0.2946 ± 0.0003,0.7053836314345893,0.00029968208394934813,0.7054 ± 0.0003
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,sparse,Fixed-users HD10,BPR,20000,13598,282986,0.00104054,14.1493,20.810854537431975,0.024279499728113108,0.0009557641254653313,0.0243 ± 0.0010,0.24279499728113105,0.009557641254653278,0.2428 ± 0.0096,0.12401343178874424,0.005144726816445455,0.1240 ± 0.0051,0.08822641771255148,0.0038525804044020734,0.0882 ± 0.0039,0.1914893617021277,0.007054075567302088,0.1915 ± 0.0071,0.9435651961920514,0.0030496000695566005,0.9436 ± 0.0030,0.006349604718283348,0.00027925979525998137,0.0063 ± 0.0003,0.06177693964263547,0.0010450466576323169,0.0618 ± 0.0010,0.9382230603573646,0.001045046657632373,0.9382 ± 0.0010
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,sparse,Fixed-users HD10,ItemKNN,20000,13598,282986,0.00104054,14.1493,20.810854537431975,0.016662483791358183,5.829823844382985e-05,0.0167 ± 0.0001,0.16662483791358182,0.0005829823844382937,0.1666 ± 0.0006,0.1160207574505352,0.00023355963883839222,0.1160 ± 0.0002,0.10000553567029913,0.00016429349322617066,0.1000 ± 0.0002,0.5728314238952538,0.0019385231692895973,0.5728 ± 0.0019,0.8761511052221929,0.00010128473773841761,0.8762 ± 0.0001,0.57294725394236,0.01142040499556445,0.5729 ± 0.0114,0.023020638801162688,0.0008289452221457107,0.0230 ± 0.0008,0.9769793611988374,0.0008289452221455926,0.9770 ± 0.0008
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,sparse,Fixed-users HD10,LightGCN,20000,13598,282986,0.00104054,14.1493,20.810854537431975,0.026186890868783202,0.00018296194963852568,0.0262 ± 0.0002,0.261868908687832,0.0018296194963852786,0.2619 ± 0.0018,0.13176336060281776,0.0012304697337524146,0.1318 ± 0.0012,0.09259334783396773,0.001061994094619615,0.0926 ± 0.0011,0.173684471556812,0.0014622350828552926,0.1737 ± 0.0015,0.9414414497002351,0.00046519655972558307,0.9414 ± 0.0005,0.007230099970719873,0.0005421505029826191,0.0072 ± 0.0005,0.056427042603911605,0.00025914192440025584,0.0564 ± 0.0003,0.9435729573960884,0.00025914192440020027,0.9436 ± 0.0003
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,sparse,Fixed-users HD10,NeuMF,20000,13598,282986,0.00104054,14.1493,20.810854537431975,0.02664491571506254,0.0002828548616232349,0.0266 ± 0.0003,0.26644915715062534,0.0028285486162323635,0.2664 ± 0.0028,0.13695161379120036,0.002250918299651217,0.1370 ± 0.0023,0.0978911585967051,0.0021418173566672746,0.0979 ± 0.0021,0.37610970589693987,0.003441730151671794,0.3761 ± 0.0034,0.8786654741394844,0.0010904108072822768,0.8787 ± 0.0011,0.028782364997699417,0.00042722189662711596,0.0288 ± 0.0004,0.05861595166351317,0.00011053092082441954,0.0586 ± 0.0001,0.9413840483364867,0.00011053092082447723,0.9414 ± 0.0001
MovieLens 20M,ml20m_allinone_20260429_114603,Fixed-users item filtering,sparse,Fixed-users HD10,MultiVAE,20000,13598,282986,0.00104054,14.1493,20.810854537431975,0.009746099468774836,0.0031590734807792017,0.0097 ± 0.0032,0.09746099468774837,0.031590734807792016,0.0975 ± 0.0316,0.04608729645763258,0.01569039483505283,0.0461 ± 0.0157,0.030797166400755305,0.010926238909044374,0.0308 ± 0.0109,0.03605614243912116,0.017740256855589307,0.0361 ± 0.0177,0.985880033181862,0.005507938292371481,0.9859 ± 0.0055,0.00024260676789224916,1.4489905112049857e-05,0.0002 ± 0.0000,0.045945666198783174,0.008303420621931627,0.0459 ± 0.0083,0.9540543338012167,0.00830342062193173,0.9541 ± 0.0083
