Dataset,Run_ID,Variant,Variant_Raw,Taildrop_Pct,Model,N_Seeds,Seeds,Number_Users,Number_Items,Number_Interactions,Density,Sparsity,Avg_User_Degree,Avg_Item_Degree,Precision@10_mean,Precision@10_sd,Precision@10_text,Recall@10_mean,Recall@10_sd,Recall@10_text,NDCG@10_mean,NDCG@10_sd,NDCG@10_text,MRR@10_mean,MRR@10_sd,MRR@10_text,Coverage@10_mean,Coverage@10_sd,Coverage@10_text,CatalogItems_mean,CatalogItems_sd,CatalogItems_text,UniqueRecItems@10_mean,UniqueRecItems@10_sd,UniqueRecItems@10_text,ItemCV@10_mean,ItemCV@10_sd,ItemCV@10_text,UserCoverage@10_mean,UserCoverage@10_sd,UserCoverage@10_text,EEL@10_mean,EEL@10_sd,EEL@10_text,RecGini_mean,RecGini_sd,RecGini_text,RecEntropy_mean,RecEntropy_sd,RecEntropy_text,1-Gini@10_mean,1-Gini@10_sd,1-Gini@10_text,ARP@10_mean,ARP@10_sd,ARP@10_text,APLT@10_mean,APLT@10_sd,APLT@10_text,LTShare@10_mean,LTShare@10_sd,LTShare@10_text,EPC@10_mean,EPC@10_sd,EPC@10_text,EFD@10_mean,EFD@10_sd,EFD@10_text,EPC_rel@10_mean,EPC_rel@10_sd,EPC_rel@10_text,EFD_rel@10_mean,EFD_rel@10_sd,EFD_rel@10_text,ILS_mean,ILS_sd,ILS_text,Diversity_mean,Diversity_sd,Diversity_text
MovieLens 20M,ml20m_aggtail_20260512_144923,TD40,aggtail_td40,0.40,BPR,3,"42,43,44",20000,11987,1460065,0.0060902,0.9939098,73.00325,121.8040377075,0.0322026549,0.0002402136,0.0322 ± 0.0002,0.3220265493,0.0024021356,0.3220 ± 0.0024,0.1740903412,0.0015316696,0.1741 ± 0.0015,0.1293264782,0.0013790995,0.1293 ± 0.0014,0.1769241475,0.0034956894,0.1769 ± 0.0035,11975,0,11975.0000 ± 0.0000,2118.6666666667,41.8608807042,2118.6667 ± 41.8609,6.113922446,0.0354157842,6.1139 ± 0.0354,0.3220265493,0.0024021356,0.3220 ± 0.0024,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD40,aggtail_td40,0.40,ItemKNN,3,"42,43,44",20000,11987,1460065,0.0060902,0.9939098,73.00325,121.8040377075,0.0420335535,0.0001353895,0.0420 ± 0.0001,0.4203355347,0.0013538952,0.4203 ± 0.0014,0.2363433265,0.0005455061,0.2363 ± 0.0005,0.1801802709,0.0007270722,0.1802 ± 0.0007,0.3144050104,0.0017356668,0.3144 ± 0.0017,11975,0,11975.0000 ± 0.0000,3765,20.7846096908,3765.0000 ± 20.7846,4.485802699,0.0031523851,4.4858 ± 0.0032,0.4203355347,0.0013538952,0.4203 ± 0.0014,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD40,aggtail_td40,0.40,LightGCN,3,"42,43,44",20000,11987,1460065,0.0060902,0.9939098,73.00325,121.8040377075,0.0346424521,0.0003456902,0.0346 ± 0.0003,0.3464245214,0.0034569017,0.3464 ± 0.0035,0.1850803328,0.0012705419,0.1851 ± 0.0013,0.1361725898,0.0011257153,0.1362 ± 0.0011,0.1492553932,0.001121405,0.1493 ± 0.0011,11975,0,11975.0000 ± 0.0000,1787.3333333333,13.428824719,1787.3333 ± 13.4288,5.5957960387,0.0207738395,5.5958 ± 0.0208,0.3464245214,0.0034569017,0.3464 ± 0.0035,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD40,aggtail_td40,0.40,NeuMF,3,"42,43,44",20000,11987,1460065,0.0060902,0.9939098,73.00325,121.8040377075,0.040637716,0.0003212976,0.0406 ± 0.0003,0.4063771596,0.0032129764,0.4064 ± 0.0032,0.2163076833,0.0023989305,0.2163 ± 0.0024,0.1586336921,0.0021618402,0.1586 ± 0.0022,0.4320389701,0.0059976232,0.4320 ± 0.0060,11975,0,11975.0000 ± 0.0000,5173.6666666667,71.8215380881,5173.6667 ± 71.8215,3.6308952137,0.0784427054,3.6309 ± 0.0784,0.4063771596,0.0032129764,0.4064 ± 0.0032,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD40,aggtail_td40,0.40,MultiVAE,3,"42,43,44",20000,11987,1460065,0.0060902,0.9939098,73.00325,121.8040377075,0.0238559803,0.0000152844,0.0239 ± 0.0000,0.2385598025,0.0001528442,0.2386 ± 0.0002,0.1314660864,0.0003954698,0.1315 ± 0.0004,0.0990648622,0.0004866015,0.0991 ± 0.0005,0.0372164231,0.0016874538,0.0372 ± 0.0017,11975,0,11975.0000 ± 0.0000,445.6666666667,20.2072594216,445.6667 ± 20.2073,8.3215353474,0.0089138529,8.3215 ± 0.0089,0.2385598025,0.0001528442,0.2386 ± 0.0002,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD60,aggtail_td60,0.60,BPR,3,"42,43,44",20000,8288,1449417,0.00874407,0.99125593,72.47085,174.8813947876,0.0275033333,0.0000375278,0.0275 ± 0.0000,0.2750333333,0.0003752777,0.2750 ± 0.0004,0.1467068748,0.0006088607,0.1467 ± 0.0006,0.1079226786,0.0006697803,0.1079 ± 0.0007,0.2473857786,0.0006860812,0.2474 ± 0.0007,8288,0,8288.0000 ± 0.0000,2050.3333333333,5.6862407031,2050.3333 ± 5.6862,5.5024685509,0.0077554182,5.5025 ± 0.0078,0.2750333333,0.0003752777,0.2750 ± 0.0004,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD60,aggtail_td60,0.60,ItemKNN,3,"42,43,44",20000,8288,1449417,0.00874407,0.99125593,72.47085,174.8813947876,0.0354116667,0.000105633,0.0354 ± 0.0001,0.3541166667,0.0010563301,0.3541 ± 0.0011,0.1934375275,0.0003693529,0.1934 ± 0.0004,0.1446095767,0.0002209691,0.1446 ± 0.0002,0.4239060489,0.0047813021,0.4239 ± 0.0048,8288,0,8288.0000 ± 0.0000,3513.3333333333,39.6274315763,3513.3333 ± 39.6274,4.1156766384,0.002947677,4.1157 ± 0.0029,0.3541166667,0.0010563301,0.3541 ± 0.0011,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD60,aggtail_td60,0.60,LightGCN,3,"42,43,44",20000,8288,1449417,0.00874407,0.99125593,72.47085,174.8813947876,0.02894,0.0001275735,0.0289 ± 0.0001,0.2894,0.0012757351,0.2894 ± 0.0013,0.1511023183,0.0001876213,0.1511 ± 0.0002,0.1093292923,0.0001524009,0.1093 ± 0.0002,0.2018581081,0.000208983,0.2019 ± 0.0002,8288,0,8288.0000 ± 0.0000,1673,1.7320508076,1673.0000 ± 1.7321,5.1762762104,0.0255986205,5.1763 ± 0.0256,0.2894,0.0012757351,0.2894 ± 0.0013,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD60,aggtail_td60,0.60,NeuMF,3,"42,43,44",20000,8288,1449417,0.00874407,0.99125593,72.47085,174.8813947876,0.034145,0.0003690867,0.0341 ± 0.0004,0.34145,0.0036908671,0.3415 ± 0.0037,0.1771022337,0.0035010296,0.1771 ± 0.0035,0.1274591005,0.0033819818,0.1275 ± 0.0034,0.5820865508,0.0115504977,0.5821 ± 0.0116,8288,0,8288.0000 ± 0.0000,4824.3333333333,95.7305245642,4824.3333 ± 95.7305,3.2248351844,0.1225343109,3.2248 ± 0.1225,0.34145,0.0036908671,0.3415 ± 0.0037,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
MovieLens 20M,ml20m_aggtail_20260512_144923,TD60,aggtail_td60,0.60,MultiVAE,3,"42,43,44",20000,8288,1449417,0.00874407,0.99125593,72.47085,174.8813947876,0.019045,0.000043589,0.0190 ± 0.0000,0.19045,0.0004358899,0.1905 ± 0.0004,0.1047315884,0.0006231025,0.1047 ± 0.0006,0.0787845238,0.0008531514,0.0788 ± 0.0009,0.0456885457,0.0016470073,0.0457 ± 0.0016,8288,0,8288.0000 ± 0.0000,378.6666666667,13.6503968196,378.6667 ± 13.6504,8.1714760772,0.0115374073,8.1715 ± 0.0115,0.19045,0.0004358899,0.1905 ± 0.0004,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000,0,0,0.0000 ± 0.0000
