dataset,variant,model,number users,number items,number interactions,avg. user degree,avg. item degree,rmse_mean,sparsity_mean,Precision@10_mean,Recall@10_mean,NDCG@10_mean,MRR@10_mean,rmse_sd,sparsity_sd,Precision@10_sd,Recall@10_sd,NDCG@10_sd,MRR@10_sd
lastfm,kcore10_sizematch_kcore50_seed42,BPR,10378,58229,1842798,177.5677394488,31.64742654,,0.9969505274099016,0.033735878457343195,0.33735878457343205,0.19301440966234532,0.14897508672343107,,0.0,0.000530216501317344,0.005302165013173415,0.00381354888571424,0.003410993787222087
lastfm,kcore10_sizematch_kcore50_seed42,ItemKNN,10378,58229,1842798,177.5677394488,31.64742654,,0.9969505274099016,0.06128749513050253,0.6128749513050252,0.4495703428997094,0.3980956271397447,,0.0,0.0001855527744766043,0.001855527744766096,0.001457915337851845,0.0014586603161490601
lastfm,kcore10_sizematch_kcore50_seed42,LightGCN,10378,58229,1842798,177.5677394488,31.64742654,,0.9969505274099016,0.035751850409037784,0.3575185040903779,0.20763227372550427,0.16181951993453747,,0.0,0.0006515671477864325,0.006515671477864315,0.004753373227438738,0.00420424916328437
lastfm,kcore10_sizematch_kcore50_seed42,MultiVAE,10378,58229,1842798,177.5677394488,31.64742654,,0.9969505274099016,0.021299181924425398,0.212991819244254,0.11886034748947498,0.090291780803565,,0.0,0.0016445065100188993,0.016445065100188984,0.010719947857594848,0.008989822906325162
lastfm,kcore10_sizematch_kcore50_seed42,NeuMF,10378,58229,1842798,177.5677394488,31.64742654,,0.9969505274099016,0.03664783794312427,0.36647837943124273,0.20470864047691392,0.15546051017905324,,0.0,0.0002690149457914558,0.002690149457914527,0.0016388803082683602,0.001504350959081197
lastfm,kcore10_sizematch_kcore50_seed43,BPR,10378,58229,1817421,175.1224706109,31.2116127703,,0.9969925214135412,0.03336905341776262,0.33369053417762623,0.1922162792837453,0.14909391856542367,,0.0,0.0002474760043287256,0.002474760043287227,0.002503181755930789,0.0025862138897144015
lastfm,kcore10_sizematch_kcore50_seed43,ItemKNN,10378,58229,1817421,175.1224706109,31.2116127703,,0.9969925214135412,0.06123071927260918,0.6123071927260919,0.44974445698007587,0.3985030037343725,,0.0,0.00020992104379144845,0.002099210437914515,0.0010304479378340247,0.0010483878325994996
lastfm,kcore10_sizematch_kcore50_seed43,LightGCN,10378,58229,1817421,175.1224706109,31.2116127703,,0.9969925214135412,0.035184283162851104,0.3518428316285111,0.20486486494711978,0.15989669267068196,,0.0,0.0004851723821403623,0.004851723821403637,0.003773017062903011,0.0035985054778023048
lastfm,kcore10_sizematch_kcore50_seed43,MultiVAE,10378,58229,1817421,175.1224706109,31.2116127703,,0.9969925214135412,0.020438382854359474,0.20438382854359474,0.11604796382321059,0.089204880198548,,0.0,0.00117295166411651,0.011729516641165123,0.007604545480637754,0.006337641143119613
lastfm,kcore10_sizematch_kcore50_seed43,NeuMF,10378,58229,1817421,175.1224706109,31.2116127703,,0.9969925214135412,0.03557395681117064,0.35573956811170643,0.1978484332171044,0.1497566859184005,,0.0,0.0004181433085129278,0.004181433085129289,0.003834547918941577,0.0038553734201246565
